brand,name,price_pln,cpu,gpu,ram,storage,psu,url,image_url
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RTX 5060 Ti 8GB, 16GB DDR5, 1TB SSD, 650W, P30 ARGB",6099.0,Ryzen 5 7500F,RTX 5060 Ti 8GB,16GB DDR5,1TB SSD,650W,"https://sklep.hard-pc.pl/p25439,zestaw-ryzen-5-7500f-rtx-5060-ti-8gb-16gb-ddr5-1tb-ssd-650w-p30-argb.html",https://sklep.hard-pc.pl/galerie/87/0/zestaw-ryzen-5-7500f-rtx-5060_87076_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RTX 5060 Ti 8GB, 16GB DDR5, 1TB SSD, 650W, P30 ARGB",6099.0,Ryzen 5 7500F,RTX 5060 Ti 8GB,16GB DDR5,1TB SSD,650W,"https://sklep.hard-pc.pl/p25439,zestaw-ryzen-5-7500f-rtx-5060-ti-8gb-16gb-ddr5-1tb-ssd-650w-p30-argb.html",https://sklep.hard-pc.pl/galerie/87/0/zestaw-ryzen-5-7500f-rtx-5060_87076_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500X3D, RX 9060 XT 16GB, 16GB DDR5, 500GB SSD, 650W, Signum 300 ARGB",6099.0,Ryzen 5 7500X3D,RX 9060 XT 16GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p22740,zestaw-ryzen-5-7500x3d-rx-9060-xt-16gb-16gb-ddr5-500gb-ssd-650w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 9500F, RTX 5060 8GB, 32GB DDR5, 1TB SSD, 650W, ARX 700 ARGB",6099.0,Ryzen 5 9500F,RTX 5060 8GB,32GB DDR5,1TB SSD,650W,"https://sklep.hard-pc.pl/p25851,zestaw-ryzen-5-9500f-rtx-5060-8gb-32gb-ddr5-1tb-ssd-650w-arx-700-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 9500F, RTX 5060 8GB, 32GB DDR5, 1TB SSD, 650W, ARX 700 ARGB",6099.0,Ryzen 5 9500F,RTX 5060 8GB,32GB DDR5,1TB SSD,650W,"https://sklep.hard-pc.pl/p25851,zestaw-ryzen-5-9500f-rtx-5060-8gb-32gb-ddr5-1tb-ssd-650w-arx-700-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 5700X, RX 9060 XT 16GB, 16GB DDR4, 1TB SSD, 750W, Lian li V100",6099.0,Ryzen 7 5700X,RX 9060 XT 16GB,16GB DDR4,1TB SSD,750W,"https://sklep.hard-pc.pl/p26362,zestaw-ryzen-7-5700x-rx-9060-xt-16gb-16gb-ddr4-1tb-ssd-750w-lian-li-v100.html",https://sklep.hard-pc.pl/galerie/87/0/zestaw-ryzen-7-5700x-rx-9060_87008_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 7800X3D, RTX 5060 TI 8GB, 16GB DDR5, 500GB SSD, 650W, PANO 130R",6099.0,Ryzen 7 7800X3D,RTX 5060 TI 8GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p25244,zestaw-ryzen-7-7800x3d-rtx-5060-ti-8gb-16gb-ddr5-500gb-ssd-650w-pano-130r.html",https://sklep.hard-pc.pl/galerie/81/6/zestaw-ryzen-9-9950x3d-rx-790_81681_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 7800X3D, RTX 5060 TI 8GB, 16GB DDR5, 500GB SSD, 650W, PANO 130R",6099.0,Ryzen 7 7800X3D,RTX 5060 TI 8GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p25244,zestaw-ryzen-7-7800x3d-rtx-5060-ti-8gb-16gb-ddr5-500gb-ssd-650w-pano-130r.html",https://sklep.hard-pc.pl/galerie/81/6/zestaw-ryzen-9-9950x3d-rx-790_81681_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 8400F, RTX 5060 8GB, 32GB DDR5, 1000GB SSD, 650W, Signum 300 ARGB",6119.0,Ryzen 5 8400F,RTX 5060 8GB,32GB DDR5,1000GB SSD,650W,"https://sklep.hard-pc.pl/p19979,zestaw-ryzen-5-8400f-rtx-5060-8gb-32gb-ddr5-1000gb-ssd-650w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 5700X, RX 9060 XT 16GB, 32GB DDR4, 1TB SSD, 750W, Hunter 3",6119.0,Ryzen 7 5700X,RX 9060 XT 16GB,32GB DDR4,1TB SSD,750W,"https://sklep.hard-pc.pl/p22528,zestaw-ryzen-7-5700x-rx-9060-xt-16gb-32gb-ddr4-1tb-ssd-750w-hunter-3.html",https://sklep.hard-pc.pl/galerie/78/2/zestaw-ryzen-5-7600x-rtx-5070_78210_k.jpg
Hard-PC.pl,"Zestaw | Intel Ultra 5 250KF Plus, RTX 5060 Ti 8GB, 16GB DDR5, 500GB SSD, 850W, Pano 130 ARGB",6129.0,Intel Ultra 5 250KF Plus,RTX 5060 Ti 8GB,16GB DDR5,500GB SSD,850W,"https://sklep.hard-pc.pl/p24428,zestaw-intel-ultra-5-250kf-plus-rtx-5060-ti-8gb-16gb-ddr5-500gb-ssd-850w-pano-130-argb.html",https://sklep.hard-pc.pl/galerie/81/6/zestaw-ryzen-9-9950x3d-rx-790_81681_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 8400F, RTX 5060 8GB, 32GB DDR5, 1TB SSD, 650W, Signum 300 ARGB",6129.0,Ryzen 5 8400F,RTX 5060 8GB,32GB DDR5,1TB SSD,650W,"https://sklep.hard-pc.pl/p21036,zestaw-ryzen-5-8400f-rtx-5060-8gb-32gb-ddr5-1tb-ssd-650w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 9500F, RTX 5060 8GB, 32GB DDR5, 500GB SSD, 650W, Hunter 2",6149.0,Ryzen 5 9500F,RTX 5060 8GB,32GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p22781,zestaw-ryzen-5-9500f-rtx-5060-8gb-32gb-ddr5-500gb-ssd-650w-hunter-2.html",https://sklep.hard-pc.pl/galerie/81/7/zestaw-ryzen-5-7500f-rx-9060_81708_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 7800X3D, RTX 5060 8GB, 16GB DDR5, 500GB SSD, 850W, Pano PZ130R",6159.0,Ryzen 7 7800X3D,RTX 5060 8GB,16GB DDR5,500GB SSD,850W,"https://sklep.hard-pc.pl/p25250,zestaw-ryzen-7-7800x3d-rtx-5060-8gb-16gb-ddr5-500gb-ssd-850w-pano-pz130r.html",https://sklep.hard-pc.pl/galerie/81/6/zestaw-ryzen-9-9950x3d-rx-790_81681_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RTX 5060 8GB, 32GB DDR5, 1000GB SSD, 650W, Signum 300 ARGB",6169.0,Ryzen 5 7500F,RTX 5060 8GB,32GB DDR5,1000GB SSD,650W,"https://sklep.hard-pc.pl/p20328,zestaw-ryzen-5-7500f-rtx-5060-8gb-32gb-ddr5-1000gb-ssd-650w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 8400F, RTX 5060 8GB, 32GB DDR5, 1000GB SSD, 650W, Stellar 5F ARGB White",6199.0,Ryzen 5 8400F,RTX 5060 8GB,32GB DDR5,1000GB SSD,650W,"https://sklep.hard-pc.pl/p20815,zestaw-ryzen-5-8400f-rtx-5060-8gb-32gb-ddr5-1000gb-ssd-650w-stellar-5f-argb-white.html",https://sklep.hard-pc.pl/galerie/74/7/obudowa-modecom-volcano-stell_74759_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 8400F, RTX 5060 8GB, 32GB DDR5, 1TB SSD, 650W, Signum 300 ARGB",6199.0,Ryzen 5 8400F,RTX 5060 8GB,32GB DDR5,1TB SSD,650W,"https://sklep.hard-pc.pl/p20662,zestaw-ryzen-5-8400f-rtx-5060-8gb-32gb-ddr5-1tb-ssd-650w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 8400F, RTX 5060 8GB, 32GB DDR5, 1TB SSD, 650W, Ventum",6199.0,Ryzen 5 8400F,RTX 5060 8GB,32GB DDR5,1TB SSD,650W,"https://sklep.hard-pc.pl/p22568,zestaw-ryzen-5-8400f-rtx-5060-8gb-32gb-ddr5-1tb-ssd-650w-ventum.html",https://sklep.hard-pc.pl/galerie/52/5/obudowa-endorfy-ventum-200-so_52514_k.jpg
Hard-PC.pl,"Zestaw | Intel Ultra 5 245KF, RTX 5060 TI 16GB, 16GB DDR5, 512GB SSD, 650W, Hunter 2 ARGB",6219.0,Intel Ultra 5 245KF,RTX 5060 TI 16GB,16GB DDR5,512GB SSD,650W,"https://sklep.hard-pc.pl/p22821,zestaw-intel-ultra-5-245kf-rtx-5060-ti-16gb-16gb-ddr5-512gb-ssd-650w-hunter-2-argb.html",https://sklep.hard-pc.pl/galerie/81/7/zestaw-ryzen-5-7500f-rx-9060_81708_k.jpg
Hard-PC.pl,"Zestaw | Intel Ultra 5 250KF Plus, RX 9060 XT 16GB, 16GB DDR5, 500GB SSD, 850W, Pano 130 ARGB",6239.0,Intel Ultra 5 250KF Plus,RX 9060 XT 16GB,16GB DDR5,500GB SSD,850W,"https://sklep.hard-pc.pl/p24423,zestaw-intel-ultra-5-250kf-plus-rx-9060-xt-16gb-16gb-ddr5-500gb-ssd-850w-pano-130-argb.html",https://sklep.hard-pc.pl/galerie/81/6/zestaw-ryzen-9-9950x3d-rx-790_81681_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 7800X3D, RX 9060 XT 16GB, 16GB DDR5, 500GB SSD, 650W, Hunter 2",6249.0,Ryzen 7 7800X3D,RX 9060 XT 16GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p22760,zestaw-ryzen-7-7800x3d-rx-9060-xt-16gb-16gb-ddr5-500gb-ssd-650w-hunter-2.html",https://sklep.hard-pc.pl/galerie/81/7/zestaw-ryzen-5-7500f-rx-9060_81708_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 9600X, RX 9060 XT 16GB, 16GB DDR5, 500GB SSD, 650W, Signum 300 ARGB",6269.0,Ryzen 5 9600X,RX 9060 XT 16GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p22625,zestaw-ryzen-5-9600x-rx-9060-xt-16gb-16gb-ddr5-500gb-ssd-650w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RTX 5060 TI 16GB, 16GB DDR5, 500GB SSD, 650W, Hunter 2",6299.0,Ryzen 5 7500F,RTX 5060 TI 16GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p22733,zestaw-ryzen-5-7500f-rtx-5060-ti-16gb-16gb-ddr5-500gb-ssd-650w-hunter-2.html",https://sklep.hard-pc.pl/galerie/81/7/zestaw-ryzen-5-7500f-rx-9060_81708_k.jpg
